date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:04	123/123	---MCZ	200	added ('OK')	text/plain	etag:W/%22ac7b452bcb77807d01f681f56dcc61e4%22	https://www.aspengrovesolutions.com/robots.txt		(from )
11:25:04	89349/89349	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Jan%202026%2003:20:39%20GMT	https://www.aspengrovesolutions.com/	D:/uwatese-decor-o/www.aspengrovesolutions.com/index.html	(from )
11:25:05	9229/9229	---M--	200	added ('OK')	image/png	etag:%22976e7ba295294d5da26628a74b7b1960%22	https://www.aspengrovesolutions.com/hubfs/Aspen-Grove_Brandmark_FullColor.png	D:/uwatese-decor-o/www.aspengrovesolutions.com/hubfs/Aspen-Grove_Brandmark_FullColor.png	(from https://www.aspengrovesolutions.com/)
11:25:06	8719/8719	---MCZ	200	added ('OK')	text/css	etag:W/%22ac51447c40adbf2831e2263f8ecef8dc%22	https://www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/47622175185/1744334717353/module_AG_-_Contact_Us_Popup.min.css	D:/uwatese-decor-o/www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/47622175185/1744334717353/module_AG_-_Contact_Us_Popup.min.css	(from https://www.aspengrovesolutions.com/)
11:25:06	17768/17768	---MCZ	200	added ('OK')	text/css	etag:W/%227fbebf0caa3b0fa689c79045f2714f74%22	https://www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/47622329300/1744334727473/module_AG_-_Burger_Menu.min.css	D:/uwatese-decor-o/www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/47622329300/1744334727473/module_AG_-_Burger_Menu.min.css	(from https://www.aspengrovesolutions.com/)
11:25:07	1598/1598	---MCZ	200	added ('OK')	text/css	etag:W/%220699c043df9a974b67d84ab5f674d142%22	https://www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/56986503401/1744334766758/module_AG_-_Value_props.min.css	D:/uwatese-decor-o/www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/56986503401/1744334766758/module_AG_-_Value_props.min.css	(from https://www.aspengrovesolutions.com/)
11:25:07	1240/1240	---MCZ	200	added ('OK')	text/css	etag:W/%22725e42fa4c80b40759ecb8233a410d47%22	https://www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/56986991605/1744334767650/module_AG_-_Benefits_Values.min.css	D:/uwatese-decor-o/www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/56986991605/1744334767650/module_AG_-_Benefits_Values.min.css	(from https://www.aspengrovesolutions.com/)
11:25:08	2985/2985	---MCZ	200	added ('OK')	text/css	etag:W/%22846f29cb178f1e92bd1714926ffadc0e%22	https://www.aspengrovesolutions.com/hubfs/hub_generated/template_assets/1/47622332134/1744321554638/template_jquery_bxslider_min.min.css	D:/uwatese-decor-o/www.aspengrovesolutions.com/hubfs/hub_generated/template_assets/1/47622332134/1744321554638/template_jquery_bxslider_min.min.css	(from https://www.aspengrovesolutions.com/)
11:25:08	1193/1193	---MCZ	200	added ('OK')	text/css	etag:W/%22de1ea2a84ff399670a1950b7dc34843f%22	https://www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/47622175192/1759246167016/module_Client_Logos.min.css	D:/uwatese-decor-o/www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/47622175192/1759246167016/module_Client_Logos.min.css	(from https://www.aspengrovesolutions.com/)
11:25:09	5428/5428	---MCZ	200	added ('OK')	text/css	etag:W/%2295be485fa13c88f5e10827059d487f4e%22	https://www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/56989203386/1744334768671/module_AG_-_3_posts_by_Tag_and_Blog.min.css	D:/uwatese-decor-o/www.aspengrovesolutions.com/hubfs/hub_generated/module_assets/1/56989203386/1744334768671/module_AG_-_3_posts_by_Tag_and_Blog.min.css	(from https://www.aspengrovesolutions.com/)
